company,code,capitalication
"トヨタ自動車","7203","45486185038480"
"三菱UFJフィナンシャル・グループ","8306","23040675143100"
"ソニーグループ","6758","20267996456230"
"リクルートホールディングス","6098","17438829400930"
"日立製作所","6501","17141397016345"
"キーエンス","6861","16119805295520"
"ファーストリテイリング","9983","15293699722080"
"三井住友フィナンシャルグループ","8316","15167579812560"
"日本電信電話","9432","13654987713120.002"
"ソフトバンクグループ","9984","13347556688400"
"東京エレクトロン","8035","12571370498115"
"任天堂","7974","11923272890000"
"伊藤忠商事","8001","11259055036416"
"中外製薬","4519","11120398928541"
"KDDI","9433","11094467899944"
"東京海上ホールディングス","8766","10358786000000"
"三菱商事","8058","10257400056538.5"
"信越化学工業","4063","10180604316790"
"みずほフィナンシャルグループ","8411","9918310085964"
"ソフトバンク","9434","9114439761550"
"三井物産","8031","9088215689944"
"第一三共","4568","7945845872349"
"日本たばこ産業","2914","7732000000000"
"本田技研工業","7267","7708800000000"
"HOYA","7741","7201672934400"
"アドバンテスト","6857","7016321622448"
"三菱重工業","7011","6998632381845"
"デンソー","6902","6628192927812"
"キヤノン","7751","6511433231248"
"セブン&アイ・ホールディングス","3382","6485636990187"
"武田薬品工業","4502","6389806811550"
"オリエンタルランド","4661","6022709049600"
"富士通","6702","5542286212200"
"ゆうちょ銀行","7182","5491520473560"
"三菱電機","6503","5462480745744"
"ダイキン工業","6367","5396228242930"
"日本郵政","6178","5276369962750"
"MS&ADインシュアランスグループホールディングス","8725","5122162227000"
"村田製作所","6981","4771586731000.5"
"ディスコ","6146","4771495127490"
"ファナック","6954","4506811432577"
"大塚ホールディングス","4578","4441487182554"
"テルモ","4543","4346127919840"
"小松製作所","6301","4148433241200"
"SOMPOホールディングス","8630","4114462506318"
"富士フイルムホールディングス","4901","4077429409152"
"NTTデータグループ","9613","4068652500000"
"第一生命ホールディングス","8750","3967880129500"
"住友商事","8053","3926096003070"
"オリックス","8591","3901239944394"
"豊田自動織機","6201","3888908038400"
"SMC","6273","3887885707890"
"パナソニックホールディングス","6752","3752565523113"
"丸紅","8002","3749039374405.5"
"ルネサスエレクトロニクス","6723","3738423847672.5"
"ブリヂストン","5108","3734069092272"
"三井不動産","8801","3575126093112"
"TDK","6762","3572814468630"
"日本電気","6701","3480200002565"
"スズキ","7269","3425256388400"
"ニデック","6594","3338596736332"
"LINEヤフー","4689","3261135826172"
"味の素","2802","3190113964772"
"イオン","8267","3123233816904"
"大和ハウス工業","1925","3048842815680"
"東日本旅客鉄道","9020","2982936879900"
"野村ホールディングス","8604","2948440344132"
"日本製鉄","5401","2943753005160"
"東海旅客鉄道","9022","2861340000000"
"三菱地所","8802","2823382668392"
"オリンパス","7733","2782685943000"
"豊田通商","8015","2734555501326"
"花王","4452","2724117300000"
"アステラス製薬","4503","2703636634050"
"三井住友トラストグループ","8309","2691607060960"
"野村総合研究所","4307","2648433914160"
"パン・パシフィック・インターナショナルホールディングス","7532","2624085026480"
"りそなホールディングス","8308","2619462334788"
"アシックス","7936","2513886201160"
"ENEOSホールディングス","5020","2508470771787.9"
"INPEX","1605","2481757188057"
"日本郵船","9101","2426856303558"
"セコム","9735","2407188347564"
"アサヒグループホールディングス","2502","2403956440923"
"京セラ","6971","2394857034360"
"積水ハウス","1928","2363583827290"
"バンダイナムコホールディングス","7832","2324340000000"
"日本ペイントホールディングス","4612","2309352999853"
"住友不動産","8830","2308540907322"
"オービック","4684","2238510000000"
"ニトリホールディングス","9843","2159548769520"
"クボタ","6326","2139180326028"
"住友電気工業","5802","2136494076561"
"コナミグループ","9766","1986757500000"
"塩野義製薬","4507","1980766082167.5"
"SUBARU","7270","1937903993396.5"
"楽天グループ","4755","1916027825090"
"日東電工","6988","1885552039225"
"シマノ","7309","1884914670000"
"日本酸素ホールディングス","4091","1831982700510"
"商船三井","9104","1831239832274"
"日本オラクル","4716","1828906108105"
"シスメックス","6869","1827408128376"
"ネクソン","3659","1807980279516"
"フジクラ","5803","1763937716002"
"キリンホールディングス","2503","1750310000000"
