会社,証券コード,時価総額,PER,前日比 (%),年初来 (%),5年前比 (%),,,
Apple Inc.,AAPL,3.47634E+12,37.09,0.754,-8.162287357,191.81575942139324,,1,3.47634E+12
NVIDIA CORP,NVDA,3.37252E+12,53.47,3.099,2.5467272321096175,2112.8309163218573,,2,3.37252E+12
MICROSOFT CORP,MSFT,3.18979E+12,35.24,1.048,1.786476868327398,158.1873984473732,,3,3.18979E+12
CHESAPEAKE UTILITIES CORP,CPK,2.82095E+12,26296.67,0.397,2.0436753193242794,29.610634289302908,,4,2.82095E+12
Alphabet Inc.,GOOGL,2.40781E+12,25.54,1.602,3.539355520338077,170.3149997241684,,5,2.40781E+12
AMAZON COM INC,AMZN,2.37576E+12,47.91,2.393,2.985550845526234,140.6253660926334,,6,2.37576E+12
"Tesla, Inc.",TSLA,1.36909E+12,107.26,3.064,5.611133122028519,1145.8859837008902,,7,1.36909E+12
"Meta Platforms, Inc.",META,1.33584E+12,24.05,0.24,4.655770183259051,176.30878838436217,,8,1.33584E+12
Broadcom Inc.,AVGO,1.10898E+12,217.66,3.5,2.4154589371980535,673.2942517505293,,9,1.10898E+12
Walmart Inc.,WMT,7.3859E+11,36.19,0.701,1.7598229109020451,137.98102017239876,,10,7.3859E+11
VISA INC.,V,5.52337E+11,27.98,0.747,1.1327680040501065,59.05449116695695,,11,5.52337E+11
EXXON MOBIL CORP,XOM,493657018283.51996,14.06,0.898,4.415729292553692,63.208369659982566,,12,4.93657E+11
Mastercard Inc,MA,477879719318.10004,38.78,0.298,-0.355128473,63.81517327505463,,13,4.7788E+11
UNITEDHEALTH GROUP INC,UNH,469124142099.83997,31,-0.163,0.7709642984224985,69.50189532486533,,14,4.69124E+11
ORACLE CORP,ORCL,4.50394E+11,38.74,0.934,-3.366538646,190.51055385170486,,15,4.50394E+11
COSTCO WHOLESALE CORP,COST,4.17903E+11,56.73,2.549,2.937998624859489,226.66931147391887,,16,4.17903E+11
"HOME DEPOT, INC.",HD,4.06663E+11,26.85,0.012,5.241779994344313,78.90918625994232,,17,4.06663E+11
PROCTER & GAMBLE Co,PG,3.79468E+11,26.34,0.393,-3.889054578,27.80994685492186,,18,3.79468E+11
NETFLIX INC,NFLX,3.66802E+11,47.14,1.867,-3.7270565,153.41090307719568,,19,3.66802E+11
BANK OF AMERICA CORP,BAC,357019087741.47003,15.12,-0.236,5.870307167235495,34.01497695852535,,20,3.57019E+11
JOHNSON & JOHNSON,JNJ,3.53993E+11,24.11,-0.501,1.6664361775688121,-0.789473684,,21,3.53993E+11
AbbVie Inc.,ABBV,3.03171E+11,59.06,-1.232,-3.455261677,92.20255433564864,,22,3.03171E+11
