会社,証券コード,時価総額,売上高 (通期),営業利益 (通期),売上成長率（％） (通期),営業利益率 (%) (通期)
"トヨタ自動車","7203","45486185038480","45095325000000","5352934000000","21.37","11.870263713588937"
"三菱UFJフィナンシャル・グループ","8306","23040675143100","11890350000000","","28.11",""
"ソニーグループ","6758","20267996456230","13020768000000","1208831000000","12.83","9.283868662739401"
"リクルートホールディングス","6098","17438829400930","3416492000000","402526000000","-0.38","11.78185109170459"
"日立製作所","6501","17141397016345","9728716000000","","-10.59",""
"キーエンス","6861","16119805295520","967288000000","495014000000","4.86","51.17545136505364"
"ファーストリテイリング","9983","15293699722080","3103836000000","500904000000","12.19","16.138223797906846"
"三井住友フィナンシャルグループ","8316","15167579812560","9353590000000","","52.29",""
"日本電信電話","9432","13654987713120.002","13374569000000","1922910000000","1.81","14.377360496626096"
"ソフトバンクグループ","9984","13347556688400","6756500000000","","2.83",""
"東京エレクトロン","8035","12571370498115","1830527000000","456263000000","-17.13","24.925226451180453"
"任天堂","7974","11923272890000","1671865000000","528941000000","4.38","31.637781758694633"
"伊藤忠商事","8001","11259055036416","14029910000000","","0.6",""
"中外製薬","4519","11120398928541","1111367000000","439174000000","-11.79","39.51655933638483"
"KDDI","9433","11094467899944","5754047000000","961584000000","1.45","16.711438053947074"
"東京海上ホールディングス","8766","10358786000000","7424667000000","","11.67",""
"三菱商事","8058","10257400056538.5","19567601000000","","-9.29",""
"信越化学工業","4063","10180604316790","2414937000000","701038000000","-14.02","29.029245897512023"
"みずほフィナンシャルグループ","8411","9918310085964","8744458000000","","51.32",""
"ソフトバンク","9434","9114439761550","6084002000000","876068000000","2.91","14.39953504288789"
"三井物産","8031","9088215689944","13324942000000","","-6.86",""
"第一三共","4568","7945845872349","1601688000000","211588000000","25.28","13.210313119658759"
"日本たばこ産業","2914","7732000000000","2841077000000","672410000000","6.89","23.66743316003051"
"本田技研工業","7267","7708800000000","20428802000000","1381977000000","20.83","6.764846024744868"
"HOYA","7741","7201672934400","792628000000","","9.54",""
"アドバンテスト","6857","7016321622448","486507000000","81628000000","-13.15","16.77838140047317"
"三菱重工業","7011","6998632381845","4657147000000","","10.81",""
"デンソー","6902","6628192927812","7144733000000","380599000000","11.61","5.326987026667056"
"キヤノン","7751","6511433231248","4180972000000","","3.71",""
"セブン&アイ・ホールディングス","3382","6485636990187","11471753000000","534248000000","-2.87","4.657073770678291"
"武田薬品工業","4502","6389806811550","4263762000000","214075000000","5.87","5.020800879598815"
"オリエンタルランド","4661","6022709049600","618493000000","165437000000","28.02","26.748402973032842"
"富士通","6702","5542286212200","3756059000000","160260000000","1.14","4.266706140664989"
"ゆうちょ銀行","7182","5491520473560","2651706000000","","28.46",""
"三菱電機","6503","5462480745744","5257914000000","328525000000","5.08","6.248200331918704"
"ダイキン工業","6367","5396228242930","4395317000000","392137000000","10.39","8.921700073055026"
"日本郵政","6178","5276369962750","11982152000000","","7.57",""
"MS&ADインシュアランスグループホールディングス","8725","5122162227000","6572889000000","","25.17",""
"村田製作所","6981","4771586731000.5","1640158000000","215447000000","-2.76","13.135746678063942"
"ディスコ","6146","4771495127490","307554000000","121490000000","8.24","39.502006151765215"
"ファナック","6954","4506811432577","795274000000","141919000000","-6.65","17.845296086631777"
"大塚ホールディングス","4578","4441487182554","2018568000000","139612000000","16.14","6.916388251473321"
"テルモ","4543","4346127919840","921863000000","140096000000","12.39","15.197052056542024"
"小松製作所","6301","4148433241200","3865122000000","","9.08",""
"SOMPOホールディングス","8630","4114462506318","4933646000000","","7.09",""
"富士フイルムホールディングス","4901","4077429409152","2960916000000","","3.56",""
"NTTデータグループ","9613","4068652500000","4367387000000","309551000000","25.13","7.087784984476989"
"第一生命ホールディングス","8750","3967880129500","11028166000000","","15.85",""
"住友商事","8053","3926096003070","6910302000000","","1.36",""
"オリックス","8591","3901239944394","2814361000000","","5.55",""
"豊田自動織機","6201","3888908038400","3833205000000","200404000000","13.41","5.228105462661142"
"SMC","6273","3887885707890","776873000000","196226000000","-5.81","25.25843992518726"
"パナソニックホールディングス","6752","3752565523113","8496420000000","360962000000","1.4","4.248401091283152"
"丸紅","8002","3749039374405.5","7250515000000","","-21.11",""
"ルネサスエレクトロニクス","6723","3738423847672.5","1469415000000","390766000000","-2.09","26.59330413804133"
"ブリヂストン","5108","3734069092272","4313800000000","481775000000","4.96","11.168227548796885"
"三井不動産","8801","3575126093112","2383289000000","339690000000","5.03","14.252992398320135"
"TDK","6762","3572814468630","2103876000000","172893000000","-3.53","8.217832229656121"
"日本電気","6701","3480200002565","3477262000000","188012000000","4.96","5.406897725854423"
"スズキ","7269","3425256388400","5374255000000","465563000000","15.78","8.66283791893016"
"ニデック","6594","3338596736332","2348202000000","163106000000","4.7","6.945995276385933"
"LINEヤフー","4689","3261135826172","1814663000000","208191000000","8.51","11.472708706795697"
"味の素","2802","3190113964772","1439231000000","146682000000","5.89","10.191692646976058"
"イオン","8267","3123233816904","9553557000000","250822000000","4.79","2.6254305071922426"
"大和ハウス工業","1925","3048842815680","5202919000000","440210000000","6","8.460827470118216"
"東日本旅客鉄道","9020","2982936879900","2730118000000","345161000000","13.49","12.642713611646089"
"野村ホールディングス","8604","2948440344132","4157294000000","","67.18",""
"日本製鉄","5401","2943753005160","8868097000000","778662000000","11.19","8.780485824636335"
"東海旅客鉄道","9022","2861340000000","1710407000000","607381000000","22.15","35.51090471449193"
"三菱地所","8802","2823382668392","1504687000000","278627000000","9.21","18.517273027546594"
"オリンパス","7733","2782685943000","936210000000","43598000000","6.16","4.656861174309182"
"豊田通商","8015","2734555501326","10188980000000","441589000000","3.46","4.3339863264036245"
"花王","4452","2724117300000","1532579000000","60035000000","-1.19","3.9172532052181324"
"アステラス製薬","4503","2703636634050","1603672000000","25518000000","5.6","1.5912231428870744"
"三井住友トラストグループ","8309","2691607060960","2475303000000","","36.08",""
"野村総合研究所","4307","2648433914160","736556000000","120411000000","6.41","16.347840490064574"
"パン・パシフィック・インターナショナルホールディングス","7532","2624085026480","2095077000000","140193000000","8.17","6.691544033942427"
"りそなホールディングス","8308","2619462334788","941663000000","","8.49",""
"アシックス","7936","2513886201160","570463000000","54215000000","17.72","9.503683849785174"
"ENEOSホールディングス","5020","2508470771787.9","13856662000000","464946000000","-7.72","3.3553968481009355"
"INPEX","1605","2481757188057","2165702000000","1121844000000","-6.84","51.800478551527405"
"日本郵船","9101","2426856303558","2387240000000","174679000000","-8.75","7.317194752098658"
