jp,usd,us,capitalization_JP,capitalization_US,USD
4.54862E+13,3.47634E+12,5.42309E+14,45486185038480 ,542309040000000 ,3476340000000 
2.30407E+13,3.37252E+12,5.26113E+14,23040675143100 ,526113120000000 ,3372520000000 
2.0268E+13,3.18979E+12,4.97607E+14,20267996456230 ,497607240000000 ,3189790000000 
1.74388E+13,2.82095E+12,4.40068E+14,17438829400930 ,440068200000000 ,2820950000000 
1.71414E+13,2.40781E+12,3.75618E+14,17141397016345 ,375618360000000 ,2407810000000 
1.61198E+13,2.37576E+12,3.70619E+14,16119805295520 ,370618560000000 ,2375760000000 
1.52937E+13,1.36909E+12,2.13578E+14,15293699722080 ,213578040000000 ,1369090000000 
1.51676E+13,1.33584E+12,2.08391E+14,15167579812560 ,208391040000000 ,1335840000000 
1.3655E+13,1.10898E+12,1.73001E+14,13654987713120 ,173000880000000 ,1108980000000 
1.33476E+13,7.3859E+11,1.1522E+14,13347556688400 ,115220040000000 ,738590000000 
1.25714E+13,5.52337E+11,8.61646E+13,12571370498115 ,86164572000000 ,552337000000 
1.19233E+13,4.93657E+11,7.70105E+13,11923272890000 ,77010494852304 ,493657018284 
1.12591E+13,4.7788E+11,7.45492E+13,11259055036416 ,74549236213608 ,477879719318 
1.11204E+13,4.69124E+11,7.31834E+13,11120398928541 ,73183366167600 ,469124142100 
1.10945E+13,4.50394E+11,7.02615E+13,11094467899944 ,70261464000000 ,450394000000 
1.03588E+13,4.17903E+11,6.51929E+13,10358786000000 ,65192868000000 ,417903000000 
1.02574E+13,4.06663E+11,6.34394E+13,10257400056539 ,63439428000000 ,406663000000 
1.01806E+13,3.79468E+11,5.9197E+13,10180604316790 ,59197008000000 ,379468000000 
9.91831E+12,3.66802E+11,5.72211E+13,9918310085964 ,57221112000000 ,366802000000 
9.11444E+12,3.57019E+11,5.5695E+13,9114439761550 ,55694977687596 ,357019087741 
9.08822E+12,3.53993E+11,5.52229E+13,9088215689944 ,55222908000000 ,353993000000 
7.94585E+12,3.03171E+11,4.72947E+13,7945845872349 ,47294676000000 ,303171000000 
7.732E+12,2.90176E+11,4.52675E+13,7732000000000 ,45267456000000 ,290176000000 
7.7088E+12,2.56637E+11,4.00354E+13,7708800000000 ,40035372000000 ,256637000000 
7.20167E+12,2.54112E+11,3.96415E+13,7201672934400 ,39641472000000 ,254112000000 
7.01632E+12,2.47702E+11,3.86415E+13,7016321622448 ,38641512000000 ,247702000000 
6.99863E+12,2.39882E+11,3.74216E+13,6998632381845 ,37421592000000 ,239882000000 
6.62819E+12,2.37182E+11,3.70004E+13,6628192927812 ,37000392000000 ,237182000000 
6.51143E+12,2.22113E+11,3.46496E+13,6511433231248 ,34649628000000 ,222113000000 
6.48564E+12,2.20181E+11,3.43482E+13,6485636990187 ,34348236000000 ,220181000000 
6.38981E+12,2.14066E+11,3.33943E+13,6389806811550 ,33394296000000 ,214066000000 
6.02271E+12,2.11086E+11,3.29294E+13,6022709049600 ,32929416000000 ,211086000000 
5.54229E+12,2.07851E+11,3.24248E+13,5542286212200 ,32424756000000 ,207851000000 
5.49152E+12,2.07605E+11,3.23864E+13,5491520473560 ,32386380000000 ,207605000000 
5.46248E+12,2.03397E+11,3.17299E+13,5462480745744 ,31729932000000 ,203397000000 
5.39623E+12,2.01334E+11,3.14082E+13,5396228242930 ,31408150921992 ,201334300782 
5.27637E+12,1.97897E+11,3.08719E+13,5276369962750 ,30871932000000 ,197897000000 
5.12216E+12,1.97106E+11,3.07485E+13,5122162227000 ,30748536000000 ,197106000000 
4.77159E+12,1.96826E+11,3.07049E+13,4771586731001 ,30704852501076 ,196825977571 
4.7715E+12,1.96489E+11,3.06522E+13,4771495127490 ,30652239283692 ,196488713357 
4.50681E+12,1.93807E+11,3.02339E+13,4506811432577 ,30233892000000 ,193807000000 
4.44149E+12,1.89052E+11,2.94921E+13,4441487182554 ,29492112000000 ,189052000000 
4.34613E+12,1.82826E+11,2.85209E+13,4346127919840 ,28520856000000 ,182826000000 
4.14843E+12,1.75529E+11,2.73825E+13,4148433241200 ,27382480455096 ,175528720866 
4.11446E+12,1.72162E+11,2.68573E+13,4114462506318 ,26857272000000 ,172162000000 
4.07743E+12,1.70574E+11,2.66095E+13,4077429409152 ,26609509561596 ,170573779241 
4.06865E+12,1.63249E+11,2.54668E+13,4068652500000 ,25466844000000 ,163249000000 
3.96788E+12,1.63061E+11,2.54375E+13,3967880129500 ,25437516000000 ,163061000000 
3.9261E+12,1.59937E+11,2.49502E+13,3926096003070 ,24950172000000 ,159937000000 
3.90124E+12,1.56268E+11,2.43778E+13,3901239944394 ,24377829017568 ,156268134728 
3.88891E+12,1.55727E+11,2.42934E+13,3888908038400 ,24293412000000 ,155727000000 
3.88789E+12,1.51282E+11,2.36E+13,3887885707890 ,23599992000000 ,151282000000 
3.75257E+12,1.49042E+11,2.32506E+13,3752565523113 ,23250552000000 ,149042000000 
3.74904E+12,1.48863E+11,2.32226E+13,3749039374406 ,23222628000000 ,148863000000 
3.73842E+12,1.47408E+11,2.29956E+13,3738423847673 ,22995648000000 ,147408000000 
3.73407E+12,1.46268E+11,2.28178E+13,3734069092272 ,22817808000000 ,146268000000 
3.57513E+12,1.46166E+11,2.28019E+13,3575126093112 ,22801896000000 ,146166000000 
3.57281E+12,1.45408E+11,2.26836E+13,3572814468630 ,22683648000000 ,145408000000 
3.4802E+12,1.42751E+11,2.22692E+13,3480200002565 ,22269156000000 ,142751000000 
3.42526E+12,1.42022E+11,2.21554E+13,3425256388400 ,22155432000000 ,142022000000 
3.3386E+12,1.41798E+11,2.21205E+13,3338596736332 ,22120488000000 ,141798000000 
3.26114E+12,1.39958E+11,2.18334E+13,3261135826172 ,21833448000000 ,139958000000 
3.19011E+12,1.39629E+11,2.17821E+13,3190113964772 ,21782124000000 ,139629000000 
3.12323E+12,1.36979E+11,2.13687E+13,3123233816904 ,21368724000000 ,136979000000 
3.04884E+12,1.3685E+11,2.13486E+13,3048842815680 ,21348577536000 ,136849856000 
2.98294E+12,1.35984E+11,2.12135E+13,2982936879900 ,21213500902464 ,135983980144 
2.94844E+12,1.29924E+11,2.02682E+13,2948440344132 ,20268204166860 ,129924385685 
2.94375E+12,1.24776E+11,1.94651E+13,2943753005160 ,19465056000000 ,124776000000 
2.86134E+12,1.23686E+11,1.9295E+13,2861340000000 ,19295016000000 ,123686000000 
2.82338E+12,1.21824E+11,1.90046E+13,2823382668392 ,19004557384176 ,121824085796 
2.78269E+12,1.18665E+11,1.85117E+13,2782685943000 ,18511740000000 ,118665000000 
2.73456E+12,1.1725E+11,1.8291E+13,2734555501326 ,18291000000000 ,117250000000 
2.72412E+12,1.16223E+11,1.81308E+13,2724117300000 ,18130788000000 ,116223000000 
2.70364E+12,1.14457E+11,1.78553E+13,2703636634050 ,17855292000000 ,114457000000 
2.69161E+12,1.14166E+11,1.78099E+13,2691607060960 ,17809906136724 ,114166064979 
2.64843E+12,1.12944E+11,1.76193E+13,2648433914160 ,17619264000000 ,112944000000 
2.62409E+12,1.08768E+11,1.69678E+13,2624085026480 ,16967808000000 ,108768000000 
2.61946E+12,1.08677E+11,1.69536E+13,2619462334788 ,16953612000000 ,108677000000 
2.51389E+12,1.08627E+11,1.69458E+13,2513886201160 ,16945788324192 ,108626848232 
2.50847E+12,1.07955E+11,1.6841E+13,2508470771788 ,16840980000000 ,107955000000 
2.48176E+12,1.07858E+11,1.68258E+13,2481757188057 ,16825848000000 ,107858000000 
2.42686E+12,1.05768E+11,1.64998E+13,2426856303558 ,16499808000000 ,105768000000 
2.40719E+12,1.05704E+11,1.64898E+13,2407188347564 ,16489837590252 ,105704087117 
2.40396E+12,1.03371E+11,1.61258E+13,2403956440923 ,16125803794464 ,103370537144 
2.39486E+12,1.03321E+11,1.61181E+13,2394857034360 ,16118076000000 ,103321000000 
