digit,word_frequency,literature,science,population,population_past,capitalization,weather,cabbage
1,79331,179897,31552,10841,10733,2740,34139,1464
2,53554,64669,9664,8339,8921,2659,29118,789
3,42747,34205,4667,7468,8406,2151,12896,702
4,36852,21987,2836,6885,7587,2323,12419,620
5,32961,15581,2018,6494,7388,2182,12471,902
6,30164,11571,1551,6279,7230,2316,12532,859
7,28806,9565,1274,6186,6984,2109,12364,836
8,26820,7877,958,5764,6601,2389,11982,763
9,25487,6647,874,5670,6236,2055,11531,748
10,24135,5627,746,5590,6701,4089,6144,1860
