1970,1975,1980,1985,1990,1995,2000,2005,2010
1010177,1240613,1401757,1542979,1671742,1757025,1822368,1880863,1913545
322497,334416,345165,342540,328493,318308,305311,294264,279127
191802,184406,180728,172486,163211,157022,150687,142161,131928
297189,320526,352619,363631,359071,360568,359536,355004,347095
162059,158715,150199,136208,117855,109766,103278,98372,94535
204793,219180,227234,226097,216423,209680,201566,190478,181169
131568,141774,153861,162932,167384,171715,173030,170580,168057
112306,118181,128229,131573,129725,131544,132125,129365,125689
69871,50131,41715,31665,20969,17116,14791,13001,10922
89601,89369,93340,95862,93312,97042,96302,93677,90145
43904,43825,44777,44283,44416,44176,43395,42045,40998
38691,36882,36626,35542,32429,30060,28325,26826,24457
101573,132477,151967,158061,160118,169328,172086,172758,173320
54493,55464,53471,51854,48232,45754,43774,41592,39595
47369,38416,38552,37414,35176,33434,31183,29083,26034
42730,36520,32946,30017,25078,22931,21026,18899,16628
63762,77624,86349,90328,97201,115495,123877,125601,123722
34904,26363,25467,22645,19409,17351,15753,14401,12637
35110,32825,33860,32163,31078,30137,28476,26632,24750
38145,33741,32103,30459,28162,26403,24991,23411,21787
43874,42732,42222,41069,37194,34664,33328,31628,30591
40553,25749,23319,21511,17049,15116,13561,11927,10221
45381,45817,42880,40675,36912,34934,33150,31202,29201
56118,61031,66788,73610,78946,84866,88897,91437,93604
50848,50090,51192,52004,49591,48425,46861,45562,43170
27184,26023,25355,24829,23152,21722,21072,20068,19056
19334,11778,10178,9612,8279,6867,5941,5221,4387
38373,36000,35376,33833,30671,28770,27579,25838,23709
30876,29155,28499,27876,26665,26046,26112,25076,24259
46526,50885,56503,58370,55571,56892,54761,53135,51526
34449,39884,42911,48305,55615,62351,65239,67614,69384
31639,34987,36309,36922,36652,36647,37139,37066,36278
9746,22264,34148,40853,47758,53537,57731,60677,60353
20487,24646,40783,48015,53143,57706,59734,60104,59449
34375,36478,39096,39841,39741,43177,46804,48056,48032
18549,17351,17316,16507,15825,19672,20778,19982,18766
4818,4216,4144,4074,3811,3994,3940,3737,3515
18624,18307,17524,16016,13546,12151,11108,10121,8748
11334,12562,11613,10159,8111,7430,6795,5897,5114
7213,6980,7363,7380,6383,6150,5832,5447,5074
10401,10034,9514,8916,7826,7171,6665,6024,5341
16745,18710,21267,22607,23963,27040,28354,28424,28463
4636,4734,5011,5107,4979,4822,4907,4919,4767
23761,23563,23467,23017,22142,21006,20233,19149,17859
28191,26296,26359,25621,23781,22315,21438,20131,18896
13284,11743,11004,10252,9127,8807,8032,7003,6386
14896,14409,13930,13313,12234,11301,10959,10131,9004
10275,9013,8803,8522,7747,7292,7152,6417,5428
8039,7379,6862,6330,5755,5385,5105,4775,4409
8060,7317,7031,6719,6011,5422,5143,4816,4408
6425,5746,5490,5069,4604,4301,3921,3643,3033
10260,9279,9241,8431,7710,7214,6906,6466,6186
19473,17869,16051,15144,13389,12446,11842,10748,9590
3827,3435,3138,2767,2502,2301,2224,1996,1781
7257,6511,5925,5497,4858,4405,4114,3744,3443
5429,4692,4532,4214,3927,3875,3608,3457,3250
9406,8574,8055,7553,6986,6450,6215,5802,5292
5725,5003,4567,4593,4511,4641,4553,4669,4823
3758,3197,3140,3028,2826,2649,2536,2354,2189
2615,2246,2075,2171,2369,2388,2227,2165,2034
5115,4544,4085,3749,3240,3029,2843,2707,2490
5040,4439,4276,4125,3775,3489,3505,3583,3811
19146,18668,18893,18892,18030,17078,16184,16176,15568
9428,8304,7931,8282,7691,7430,7249,7112,6428
25799,25823,22373,20892,19372,17895,16726,15744,14451
3377,3031,2788,2640,2376,2128,2040,2185,1883
2606,2230,2014,1797,1596,1481,1325,1319,1122
6102,5635,4910,4271,4012,3648,3149,2860,2516
7304,6648,5901,5456,4967,4654,4318,4021,3611
6468,5897,5467,4959,4595,4293,4111,3967,3800
25339,25816,26632,26213,25266,24485,23685,22734,21258
2085,1734,1485,1460,1470,1552,1512,1310,1262
6489,5651,5444,5755,5665,9020,9792,9564,8778
10915,8891,8648,8634,8075,7667,7309,6836,6194
15718,12618,10790,9459,6440,5852,5171,4770,4086
10620,9511,9000,8426,7809,7250,6910,6477,5896
14850,13797,13354,12921,12282,12293,12452,12401,11691
19348,17528,17482,16860,16101,15604,14847,14352,13340
6654,5947,5427,5879,5537,5310,5144,4785,4859
5245,3960,3654,3400,3058,2854,2643,2417,2206
10483,9527,9429,9111,8787,8363,8067,7684,7249
7478,6624,6136,5583,5002,4508,4232,3943,3462
5036,4409,4163,4003,3735,3544,3268,3003,2730
5324,4332,4147,4105,3981,3825,3601,3316,3049
4617,3867,3569,3266,3009,2785,2562,2376,2193
8177,7016,6207,5640,5206,4745,4373,4041,3612
7943,7130,7509,7317,6930,6871,7165,7261,7345
5693,5109,5425,5669,5763,7676,8127,9194,9292
11068,9986,9619,9044,8383,7893,7643,7473,7087
6711,6118,5806,5457,5004,4683,4576,4340,4042
7443,6343,5815,5363,4735,4322,4065,3739,3328
11372,9805,9302,8018,6668,6285,5718,5176,4532
8204,7616,7774,7760,7418,7211,7671,7701,7859
18002,15719,14826,13975,12769,12106,11902,11628,10956
15791,14870,14441,14127,13265,12881,12809,12352,11545
