Value,Frequency
56.0,44
66.0,20
69.0,26
75.0,18
74.5,6
80.0,12
81.0,27
76.0,16
79.0,10
87.0,7
97.0,6
106.0,7
125.0,7
116.0,6
107.0,7
83.0,17
82.0,14
78.0,23
84.0,15
89.0,12
77.0,19
85.0,16
74.0,14
72.0,16
70.0,28
67.0,22
63.0,10
62.0,17
61.0,15
71.0,24
68.0,21
64.0,22
73.0,39
65.0,10
63.5,1
58.0,9
48.0,7
53.0,6
51.0,9
54.0,9
60.0,9
52.0,9
50.0,4
49.0,5
46.0,3
55.0,10
57.0,12
59.0,12
88.0,15
86.0,13
105.0,9
102.0,7
98.0,10
94.0,11
111.0,8
103.0,10
93.0,15
90.0,9
101.0,7
121.0,5
141.0,1
161.0,1
108.0,4
109.0,40
145.0,1
181.0,1
190.0,2
157.0,1
124.0,4
163.0,1
165.0,2
167.0,2
128.0,6
92.0,12
150.0,1
229.0,1
311.0,1
307.0,1
303.0,1
197.0,1
200.0,1
187.0,1
174.0,1
156.0,1
110.0,6
102.5,1
131.0,1
125.5,1
120.0,3
147.0,2
143.5,1
140.0,1
139.5,1
132.0,3
96.0,25
109.5,1
126.0,2
95.0,15
162.0,1
138.0,1
115.5,1
95.5,2
122.0,5
113.0,6
104.0,8
98.5,1
80.5,3
73.5,2
84.5,5
47.0,2
43.0,2
89.5,8
8.0,1
99.0,11
115.0,4
40.0,1
91.0,11
100.0,5
118.5,2
124.5,1
86.5,2
70.5,2
67.5,5
48.5,1
44.0,1
57.5,1
45.0,1
46.5,1
61.5,1
75.5,1
83.5,4
100.5,1
116.5,1
126.5,1
129.0,5
123.5,1
118.0,2
93.5,2
92.5,2
119.0,4
130.0,1
123.0,4
133.0,1
112.0,5
117.0,5
143.0,1
168.0,1
127.0,2
65.5,3
119.5,1
94.5,2
68.5,1
107.5,6
114.0,1
87.5,2
99.5,1
97.5,2
72.5,4
79.5,1
90.5,1
76.5,3
78.5,1
106.5,1
67.75,1
