Rank,literature,science,wiki_5k,wiki_10k,wiki_50k,wiki_100k,wiki_250k,wiki_340k,wiki_3m,wiki_20m,wiki_all(370m)
1,73906,12006,314,581,3165,6221,14436,18153,174620,1151225,20341224
2,44474,7151,215,274,1237,2335,5692,7341,70024,463194,9941941
3,35856,5893,141,231,995,2064,5194,6817,58980,389666,7763946
4,22577,4480,130,216,714,1866,4527,6290,49586,369874,6259108
5,20432,4039,120,205,657,1032,2426,3156,29234,189491,4180764
6,17217,4011,111,144,627,917,2400,2865,29162,179416,3130161
7,16115,3530,111,133,532,911,2341,2800,24755,159786,3105224
8,15498,3503,73,121,493,877,2057,2797,20183,148699,2650922
9,15342,3468,63,119,464,844,1310,2677,18996,119705,2268712
10,14586,3314,50,112,415,747,1308,1706,14098,111579,1857434
11,14148,3005,48,101,401,627,1178,1705,13042,105506,1422481
12,14130,2906,43,101,301,497,1135,1523,12615,90318,1385107
13,13816,2049,41,84,289,491,1101,1422,12229,85253,1330046
14,12540,1785,35,61,280,472,1070,1381,10884,75698,1323025
15,12457,1676,33,60,262,470,1062,1321,10498,70951,1308647
16,11010,1631,32,56,240,463,1033,1275,10144,69791,1188465
17,10876,1602,28,50,232,432,975,1216,9288,66587,1139753
18,10729,1516,26,49,223,411,928,1212,8594,61624,1089740
19,10283,1462,26,48,221,387,922,1140,7987,53593,979053
20,9494,1453,26,46,218,347,829,1089,7788,48249,933386
21,9473,1438,25,43,203,342,804,1073,7360,46387,885335
22,8754,1423,25,43,203,338,803,1036,7224,45744,839626
23,7547,1414,24,41,177,325,729,998,6816,45587,818360
24,7336,1328,23,40,174,316,704,989,6424,44412,779215
25,7303,1308,22,40,174,304,648,975,6210,42234,775780
26,7269,1172,22,40,171,304,641,828,6049,41729,751328
27,6728,1148,22,39,164,291,624,820,5848,41147,747513
28,6422,1099,22,36,151,277,623,813,5811,40722,742809
29,6182,1093,21,36,151,266,594,780,5757,37446,738950
30,6157,1091,21,33,149,244,586,759,5704,37141,733629
31,5999,1087,20,33,147,241,573,751,5529,33984,706181
32,5838,1067,20,31,143,238,564,729,5385,33288,686759
33,5835,1047,19,30,133,236,543,720,5326,33025,679370
34,5764,1002,19,29,131,231,539,714,5102,32948,638401
35,5634,971,18,28,130,225,531,694,4774,31213,622943
36,5428,959,18,28,128,225,522,681,4700,30767,590955
37,5423,955,17,28,127,220,518,649,4604,30689,571575
38,5419,952,17,28,126,219,508,638,4563,30368,552319
39,5245,911,16,27,125,214,502,633,4448,29991,552145
40,5132,907,16,26,125,213,501,628,4447,29346,535328
41,5096,904,16,26,123,209,481,621,4413,29002,533795
42,5044,889,16,25,121,202,477,613,4412,28908,515734
43,5035,875,16,25,119,202,473,610,4277,28861,515162
44,4988,873,15,24,117,200,462,596,4251,28766,511619
45,4846,867,14,24,115,194,460,588,4251,28695,492588
46,4806,864,14,24,113,191,458,585,4219,26970,490690
47,4727,860,14,24,110,191,435,581,4172,26574,483599
48,4565,832,13,24,106,190,432,566,3999,25895,481916
49,4504,826,13,24,106,188,426,554,3964,25447,480730
50,4435,821,13,23,105,188,419,538,3872,24338,479596
51,4353,819,13,23,104,186,418,529,3839,24210,477803
52,4188,798,13,23,102,181,418,529,3801,24132,468514
53,4147,762,13,23,99,180,415,526,3784,23930,466258
54,4147,758,13,22,99,178,405,514,3778,23503,456186
55,4031,743,13,22,99,172,402,512,3744,23225,454815
56,4006,730,12,22,98,172,376,503,3642,23157,442790
57,4006,724,12,22,98,172,370,502,3625,22782,435973
58,3936,707,12,22,97,169,367,492,3596,22587,434724
59,3931,696,12,22,96,167,366,486,3526,22319,430850
60,3897,691,12,21,96,165,366,485,3426,22250,428539
61,3858,690,12,21,96,161,365,477,3423,21856,428118
62,3831,687,11,21,95,161,363,476,3366,21011,425407
63,3520,664,11,21,93,159,362,471,3340,20890,406487
64,3490,655,11,20,90,159,353,467,3312,20435,405609
65,3475,651,11,20,89,157,345,446,3307,20344,405332
66,3471,651,11,20,89,154,344,444,3302,20213,405124
67,3468,648,11,19,87,154,344,437,3266,20157,405031
68,3374,641,11,19,87,151,333,435,3234,19957,401337
69,3221,618,10,18,84,151,311,426,3232,19875,399589
70,3220,609,10,18,83,150,305,426,3229,19817,399082
71,3205,598,10,18,82,150,302,421,3225,19779,392141
72,3201,594,10,18,82,150,298,420,3142,19744,387838
73,3165,592,10,18,81,150,292,420,3139,19728,387080
74,3150,580,10,18,81,150,292,419,3056,19668,382530
75,3117,566,10,18,80,149,291,418,3055,19277,381750
76,3104,552,10,17,79,148,291,415,2996,19267,371443
77,3095,533,10,17,78,146,290,413,2996,19124,358858
78,3068,532,9,16,78,145,286,413,2988,18977,357756
79,3055,513,9,16,78,145,286,409,2842,18913,347828
80,3051,512,9,16,78,143,285,407,2832,18835,346022
81,3038,509,9,16,76,142,284,406,2828,18676,344290
82,3034,507,9,16,74,141,283,405,2823,18431,342440
83,3027,505,9,16,74,139,282,402,2800,18386,341990
84,3013,500,9,16,74,137,280,395,2741,18057,341375
85,2958,494,9,16,73,137,279,388,2733,17927,337330
86,2948,484,8,16,73,136,278,383,2721,17880,331599
87,2921,484,8,16,73,136,277,375,2687,17811,331237
88,2903,478,8,15,73,134,276,373,2678,17810,329250
89,2852,472,8,15,71,134,275,371,2664,17743,327670
90,2832,464,8,15,71,134,273,348,2662,17728,326182
91,2790,459,8,15,70,132,268,346,2655,17704,325127
92,2787,459,8,15,69,132,265,344,2618,17673,324070
93,2742,451,8,15,68,131,263,341,2613,17621,323501
94,2704,447,8,15,68,131,259,341,2601,17530,323369
95,2699,433,8,14,67,130,259,339,2594,17280,320965
96,2694,432,8,14,65,129,259,334,2590,17005,316390
97,2621,425,8,14,64,128,258,333,2555,16925,308326
98,2618,421,8,14,63,127,256,328,2545,16825,307771
99,2587,420,8,14,63,125,253,328,2540,16693,307330
100,2562,415,8,14,62,125,252,327,2535,16656,305848
101,2545,412,8,14,62,124,252,322,2525,16595,304696
102,2526,408,7,14,62,124,252,320,2502,16552,301358
103,2521,404,7,14,62,123,250,319,2498,16533,299852
104,2506,403,7,14,62,123,249,318,2442,16506,296353
105,2463,399,7,14,60,122,248,317,2432,16497,296322
106,2450,392,7,14,60,122,248,315,2400,16379,296128
107,2413,388,7,14,60,121,248,315,2380,16316,295208
108,2393,382,7,14,60,120,245,313,2371,16174,291542
109,2391,380,7,13,60,119,245,312,2367,16143,291021
110,2378,380,7,13,60,116,243,312,2347,16001,290554
111,2365,377,7,13,59,116,238,312,2311,15840,289588
112,2343,372,7,13,59,116,238,310,2297,15643,289508
113,2322,367,7,13,59,115,238,309,2292,15623,288080
114,2295,364,7,13,58,115,236,304,2267,15512,287926
115,2280,353,7,13,58,115,236,300,2260,15403,287707
116,2275,350,7,12,58,114,235,300,2252,15283,286746
117,2163,350,7,12,58,113,233,297,2222,15272,284960
118,2139,347,7,12,58,113,232,296,2218,15109,280486
119,2138,338,7,12,58,113,230,295,2216,15046,280310
120,2128,337,7,12,57,112,229,294,2202,15043,278868
121,2126,333,7,12,57,112,226,294,2187,15003,278692
122,2070,333,7,12,57,111,224,292,2185,14852,278368
123,2062,332,7,12,56,111,223,291,2179,14849,278150
124,2050,329,7,11,56,111,222,290,2176,14674,276062
125,1993,325,7,11,55,110,221,287,2169,14628,275145
126,1967,323,6,11,55,109,212,286,2153,14539,273857
127,1954,322,6,11,54,108,212,284,2132,14507,272412
128,1929,321,6,11,54,108,212,283,2124,14488,272175
129,1926,318,6,11,53,108,210,282,2109,14417,270173
130,1918,317,6,11,53,106,210,282,2106,14340,269480
131,1917,315,6,11,53,105,209,280,2080,14317,268528
132,1915,309,6,11,53,104,208,280,2060,14206,267272
133,1899,307,6,11,53,104,207,277,2052,14141,266634
134,1883,304,6,11,53,104,207,276,2042,14126,265319
135,1831,300,6,11,52,104,207,276,2040,14114,263570
136,1804,300,6,11,52,103,207,269,2037,13814,262863
137,1797,299,6,11,52,103,206,268,2021,13792,262789
138,1783,297,6,11,52,102,203,267,2019,13772,260759
139,1768,295,6,11,51,101,203,264,2019,13733,260172
140,1733,294,6,11,50,100,201,263,2015,13627,259181
141,1729,293,6,11,50,99,200,262,1986,13623,258382
142,1729,293,6,11,50,99,200,261,1984,13564,254072
143,1712,291,6,10,50,99,199,260,1980,13342,253113
144,1634,289,6,10,49,98,199,259,1980,13251,252569
145,1634,287,6,10,49,98,197,257,1974,13146,251744
146,1632,283,6,10,49,98,197,257,1955,13038,251679
147,1617,281,6,10,48,98,195,256,1952,12998,249690
148,1610,281,6,10,48,97,194,256,1942,12951,248341
149,1601,278,6,10,48,97,194,252,1939,12882,246852
150,1589,278,5,10,48,97,194,250,1932,12821,245106
151,1573,277,5,10,47,96,194,250,1925,12687,245002
152,1571,275,5,10,47,96,192,249,1918,12589,243872
153,1568,271,5,10,47,95,191,248,1913,12583,242742
154,1549,269,5,10,46,95,191,248,1913,12582,242377
155,1517,269,5,10,46,95,190,246,1902,12564,240883
156,1509,265,5,10,46,95,190,245,1898,12430,240318
157,1508,265,5,10,45,94,189,244,1895,12405,240163
158,1481,265,5,10,45,93,189,244,1886,12385,238712
159,1471,263,5,10,45,93,189,243,1864,12371,238647
160,1461,263,5,10,44,93,188,242,1861,12322,236009
161,1451,263,5,10,44,92,188,239,1856,12276,235989
162,1446,261,5,10,44,92,187,239,1846,12194,235903
163,1436,260,5,10,44,92,186,238,1826,12091,234777
164,1432,260,5,10,43,92,185,236,1823,12008,234500
165,1406,259,5,9,42,91,183,235,1821,11993,231428
166,1404,257,5,9,42,90,183,235,1821,11977,231144
167,1404,257,5,9,42,90,182,235,1814,11968,230833
168,1400,256,5,9,42,88,181,234,1811,11948,230218
169,1396,253,5,9,41,88,181,233,1805,11890,229654
170,1375,250,5,9,41,86,181,232,1800,11889,228280
171,1374,250,5,9,41,86,180,232,1795,11886,228249
172,1373,248,5,9,40,86,179,231,1789,11873,227429
173,1370,247,5,9,40,86,178,230,1784,11818,225509
174,1368,242,5,9,40,85,177,230,1777,11810,224717
175,1360,241,5,9,40,85,177,229,1768,11800,224545
176,1357,241,5,9,40,85,176,228,1755,11720,223538
177,1352,239,5,9,40,84,176,228,1752,11600,222240
178,1348,239,5,9,40,84,175,227,1751,11593,219809
