city,male,female,population,births ,deaths,marriage,divorce
01北海道　　　　　　　 ,2448759,2739682,5188441,148354,338223,105228,45934
0110札幌市保健所　　　 ,911689,1047834,1959523,61408,104874,45914,18555
0136小樽市保健所　　　 ,49869,60823,110692,2156,9665,1566,768
0137市立函館保健所　　 ,113528,136449,249977,6208,20000,4822,2219
0138旭川市保健所　　　 ,151458,176695,328153,9451,23285,6559,2946
0151江別保健所　　　　 ,93428,102191,195619,4881,11507,2575,1544
0153千歳保健所　　　　 ,110886,114044,224930,7126,11074,4738,2102
0154岩見沢保健所　　　 ,71512,80487,151999,3183,12806,2217,1033
0159滝川保健所　　　　 ,46519,52951,99470,2272,9184,1627,684
0161深川保健所　　　　 ,13845,15681,29526,611,2676,405,161
0163富良野保健所　　　 ,19256,20146,39402,1209,2742,815,279
0165名寄保健所　　　　 ,29222,31322,60544,1632,4406,1011,446
0167岩内保健所　　　　 ,9706,10093,19799,549,1742,389,147
0168倶知安保健所　　　 ,32399,33700,66099,1898,5278,1241,484
0169江差保健所　　　　 ,10027,10988,21015,396,1951,281,147
0172渡島保健所　　　　 ,49879,57253,107132,2590,8543,1646,1042
0173八雲保健所　　　　 ,16085,16880,32965,795,2906,547,245
0175室蘭保健所　　　　 ,84248,91414,175662,4479,13888,3108,1380
0176苫小牧保健所　　　 ,100214,104331,204545,6278,12986,4519,2052
0177浦河保健所　　　　 ,9877,10293,20170,521,1557,365,163
0178静内保健所　　　　 ,20732,21512,42244,1147,3246,773,335
0179帯広保健所　　　　 ,158791,171932,330723,10162,21371,6835,2820
0184釧路保健所　　　　 ,104575,116582,221157,5823,15926,4313,2153
0186根室保健所　　　　 ,11717,12610,24327,608,1924,466,187
0187中標津保健所　　　 ,23166,23344,46510,1570,2708,969,501
0188網走保健所　　　　 ,30945,30967,61912,1762,4391,1161,460
0190北見保健所　　　　 ,69172,76275,145447,3936,10150,2672,1311
0192紋別保健所　　　　 ,30653,32917,63570,1699,5375,1143,536
0193稚内保健所　　　　 ,30670,30552,61222,1728,4404,1215,552
0195留萌保健所　　　　 ,20528,22090,42618,1033,3710,732,303
0196上川保健所　　　　 ,24163,27326,51489,1243,3948,604,379
01100札幌市　　　　　　,911689,1047834,1959523,61408,104874,45914,18555
01101札幌市中央区　　　,111470,134557,246027,7787,11704,7557,2569
01102札幌市北区　　　　,135037,151154,286191,8552,14825,5617,2592
01103札幌市東区　　　　,124976,138509,263485,9012,13588,6549,2657
01104札幌市白石区　　　,99486,111245,210731,7890,11101,6726,2479
01105札幌市豊平区　　　,103366,120339,223705,7914,11391,6891,2065
01106札幌市南区　　　　,62042,73071,135113,3144,9174,1950,1102
01107札幌市西区　　　　,99510,116465,215975,7470,11671,5321,1897
01108札幌市厚別区　　　,56469,67944,124413,3059,7038,2063,964
01109札幌市手稲区　　　,66684,75458,142142,3903,8281,1967,1244
01110札幌市清田区　　　,52649,59092,111741,2677,6101,1273,986
01202函館市　　　　　　,113528,136449,249977,6208,20000,4822,2219
01203小樽市　　　　　　,49869,60823,110692,2156,9665,1566,768
01204旭川市　　　　　　,151458,176695,328153,9451,23285,6559,2946
01205室蘭市　　　　　　,40145,41830,81975,2153,6569,1584,616
01206釧路市　　　　　　,77271,86933,164204,4241,11873,3288,1640
01207帯広市　　　　　　,79235,86579,165814,5404,9707,4095,1592
01208北見市　　　　　　,54520,60535,115055,3206,7710,2176,1090
01209夕張市　　　　　　,3373,3874,7247,97,925,75,33
