kagakueigano_ichi_kosatsu.txt,単語,頻度,gorono_ronri.txt,単語,頻度,kagaku_bumueno_kugen.txt,単語,頻度,bito_kagaku.txt,単語,頻度,kagakuteki_seishintowa_nanika.txt,単語,頻度,senkono_hi.txt,単語,頻度,gengoto_dogu.txt,単語,頻度,kagakuteki_hohono_tekiyosarenu_baai.txt,単語,頻度,gijutsuno_tetsugaku.txt,単語,頻度,kagaku_jicho.txt,単語,頻度,hanashino_tane.txt,単語,頻度,hikaku_kagakuron.txt,単語,頻度,kokeino_ronri.txt,単語,頻度,futatabi_kagakuno_rekishiteki.txt,単語,頻度,jikkenshitsuno_kioku.txt,単語,頻度,terebino_kagakubangumi.txt,単語,頻度,nihon_saiken.txt,単語,頻度,haru6dai.txt,単語,頻度,ryotekito_shitsuteki.txt,単語,頻度,mangato_kagaku.txt,単語,頻度,gijutsuteki_seishintowa_nanika.txt,単語,頻度,kagakuwa_yakuni_tatsuka.txt,単語,頻度,gijutsue_iku_mondai.txt,単語,頻度,unescoto_kagaku.txt,単語,頻度,saijiki_shinchu.txt,単語,頻度,kagakuto_kagakuno_kannen.txt,単語,頻度,kagakushato_atama.txt,単語,頻度,chikyuno_marui_hanashi.txt,単語,頻度,risshunno_tamago.txt,単語,頻度,seisan'o_mokuhyotosuru_kagaku.txt,単語,頻度,futatabi_kagakuteki_seishinni_tsuite.txt,単語,頻度,mannenfude_ran_yori.txt,単語,頻度,kagakuto_bunka.txt,単語,頻度,kagakuga_hesoo_mageta.txt,単語,頻度,kagakuno_joshiki.txt,単語,頻度,ujino_koyo.txt,単語,頻度,kagakuni_kokorozasu_hitoe.txt,単語,頻度,warerano_tetsugaku.txt,単語,頻度,kokuminno_jinkaku_kojo.txt,単語,頻度,kagakuno_fushigi.txt,単語,頻度,kagakusyato_geijutsuka.txt,単語,頻度,kagakujoni_okeru_ken'ino_kachito_heigai.txt,単語,頻度,minami_taiheiyo_kagaku.txt,単語,頻度,nihonbunkato_kagakuteki_shiso.txt,単語,頻度,saikin_nihonno_kagakuron.txt,単語,頻度,chawanno_yu.txt,単語,頻度,hosokuni_tsuite.txt,単語,頻度,kagakujono_kotto_shumito_onkochishin.txt,単語,頻度,kokuboto_kagaku.txt,単語,頻度,inuga_nakuto_garasuga_kowareruka.txt,単語,頻度,kagakuno_genkai.txt,単語,頻度,kagakuron.txt,単語,頻度,senrigan_sonota.txt,単語,頻度,shakaijijoto_kagakutekiseishin.txt,単語,頻度,kagaku_hohoron.txt,単語,頻度,gijutsuto_kagakutono_gainen.txt,単語,頻度,zerontoroji.txt,単語,頻度
,する,16,,する,73,,する,124,,いる,15,,的,229,,研究,15,,する,33,,する,12,,的,1417,,する,30,,する,393,,する,143,,する,91,,する,115,,する,75,,いる,26,,する,150,,する,88,,する,107,,する,72,,的,175,,する,212,,する,50,,する,23,,する,46,,科学,107,,する,63,,する,54,,卵,82,,科学,62,,的,244,,する,22,,科学,43,,する,44,,いる,111,,する,46,,する,58,,する,267,,する,19,,する,2005,,する,91,,する,69,,する,142,,的,69,,科学,238,,湯,33,,する,133,,する,51,,の,10,,する,178,,する,77,,的,2164,,する,174,,する,169,,する,2461,,する,60,,する,84
,の,16,,いる,62,,こと,89,,美しい,14,,する,135,,年,12,,もの,21,,こと,8,,する,1050,,いる,14,,十,324,,いる,84,,論理,42,,科学,86,,実験,59,,する,22,,學,87,,いる,61,,的,68,,もの,35,,精神,114,,いる,138,,の,28,,學,15,,ある,33,,する,54,,人,44,,の,53,,いる,69,,する,61,,する,144,,中,16,,する,40,,の,42,,する,91,,の,13,,こと,22,,こと,192,,こと,19,,の,1850,,科学,62,,事,37,,つて,125,,する,59,,的,171,,いる,29,,事,63,,科学,35,,する,10,,こと,143,,こと,62,,する,1895,,の,102,,的,97,,的,1803,,技術,47,,いる,65
,映画,13,,の,54,,いる,75,,美,13,,引用,107,,ある,10,,れる,16,,科学,7,,技術,1027,,こと,13,,事,174,,研究,62,,云,41,,的,73,,室,57,,科学,20,,科,79,,事,37,,こと,50,,漫画,34,,する,103,,こと,125,,こと,23,,科,14,,霧,33,,的,46,,科学,35,,ある,40,,する,66,,技術,35,,科学,116,,十,13,,の,36,,いる,29,,れる,61,,いる,13,,の,22,,ある,151,,國,15,,ゐる,1670,,者,50,,なる,36,,船,99,,の,37,,する,112,,する,26,,方,57,,事,25,,科学,9,,いる,120,,科学,59,,科学,1560,,こと,94,,こと,81,,傍点,1310,,生産,34,,の,47
,分る,13,,こと,37,,科学,63,,の,11,,精神,106,,する,9,,言語,13,,方法,7,,の,465,,もの,13,,いる,158,,れる,52,,もの,41,,自然,70,,の,49,,実験,20,,こと,76,,よう,36,,れる,47,,れる,28,,技術,100,,科学,122,,科学,22,,なる,11,,なる,30,,の,45,,頭,34,,桁,37,,の,62,,的,21,,精神,115,,日,13,,こと,28,,こと,26,,科学,52,,蛆,11,,よう,21,,いる,144,,の,12,,つて,1204,,芸術,49,,権威,31,,ゐる,83,,科学,25,,論,94,,なる,25,,則,50,,ある,22,,研究,7,,ある,118,,の,51,,傍点,1143,,いる,64,,の,76,,学問,995,,れる,26,,こと,45
,科学,12,,ある,36,,の,63,,れる,11,,科学,102,,十,7,,の,13,,茶,7,,なる,443,,怪人,13,,一,152,,の,45,,の,41,,傍点,57,,いる,49,,こと,19,,なる,55,,なる,26,,の,42,,的,27,,の,52,,の,116,,的,19,,もの,10,,の,28,,こと,40,,者,23,,こと,36,,こと,59,,なる,18,,教学,96,,字,12,,よう,26,,なる,24,,たち,51,,れる,11,,れる,19,,これ,104,,これ,10,,それ,976,,事,49,,者,31,,の,67,,いる,24,,の,71,,よう,24,,もの,48,,趣味,21,,国防,5,,科学,106,,いる,49,,の,822,,れる,64,,科学,68,,こと,933,,の,26,,十,34
,もの,12,,中,32,,ある,57,,科学,10,,の,83,,二,7,,よう,12,,的,6,,傍点,436,,弁当,11,,四,150,,それ,41,,居る,38,,性,40,,こと,40,,の,18,,國,48,,れる,24,,もの,39,,なる,21,,もの,48,,研究,104,,実験,16,,人,9,,もの,23,,いる,40,,ある,21,,いる,36,,立つ,52,,もの,18,,の,88,,年,10,,それ,24,,よう,23,,ある,40,,蠅,10,,年,18,,なる,102,,つて,9,,事,936,,的,42,,もの,28,,やう,59,,こと,24,,自然,61,,茶わん,23,,なる,44,,これ,21,,者,5,,の,94,,一,47,,自然,706,,ある,59,,我々,46,,なる,870,,科学,25,,なる,31
,こと,10,,なる,29,,れる,53,,する,9,,もの,60,,日,7,,それ,12,,条件,6,,いる,431,,箱,11,,二,135,,こと,37,,物,34,,学,36,,よう,36,,やる,14,,これ,47,,もの,22,,ある,38,,事,20,,なる,46,,ある,93,,なる,15,,國,9,,一,22,,専門,38,,よう,16,,地球,29,,なる,35,,の,18,,もの,75,,れる,8,,いる,19,,短波,21,,もの,40,,年,9,,ない,14,,人間,85,,なる,8,,云,836,,もの,41,,人,27,,こと,54,,もの,20,,思想,51,,もの,22,,の,42,,骨董,20,,年,5,,もの,92,,人,42,,こと,698,,それ,55,,これ,46,,科学,829,,傍点,25,,ある,29
,説明,9,,雪,27,,日本,47,,さ,8,,こと,60,,よう,7,,ある,11,,おく,6,,こと,425,,死,11,,ある,121,,もの,35,,ふる,33,,社会,35,,もの,28,,テレビ,12,,つて,45,,それ,21,,よう,38,,ある,19,,近代,41,,日本,85,,いる,15,,ユネスコ,8,,十,22,,観念,30,,こと,16,,測定,27,,みる,28,,目標,16,,こと,73,,６,7,,もの,19,,ある,18,,こと,36,,なる,8,,いる,14,,よう,79,,ゐる,7,,やう,792,,ある,37,,の,23,,私,45,,れる,20,,もの,50,,の,22,,的,37,,者,18,,いる,4,,れる,80,,ある,39,,社会,696,,なる,49,,もの,46,,方法,787,,的,25,,歳,25
,ある,7,,的,26,,なる,39,,こと,8,,文献,53,,れる,7,,なる,11,,場合,5,,社会,420,,谷,10,,年,115,,科学,33,,人間,33,,段階,35,,真空,28,,ない,12,,の,40,,の,21,,それ,34,,いる,18,,こと,41,,れる,82,,生産,15,,の,8,,日,22,,なる,30,,なる,16,,なる,23,,立春,27,,生産,14,,なる,66,,下げ,7,,ある,18,,電気,17,,の,33,,一,7,,自分,13,,ない,75,,ある,7,,ある,657,,よう,34,,科学,21,,海,44,,日本,18,,こと,43,,ある,18,,ある,36,,の,16,,よう,4,,いう,70,,もの,37,,なる,648,,千里眼,46,,れる,41,,れる,779,,物,25,,年,23
,いる,7,,論理,23,,それ,32,,できる,6,,傍点,49,,線香,6,,事,10,,よう,5,,れる,359,,一行,10,,日,111,,型,33,,こと,27,,人間,35,,ある,27,,もの,12,,者,38,,ある,16,,量的,27,,科学,17,,科学,38,,なる,71,,云う,14,,進歩,6,,年,19,,もの,29,,悪い,16,,六,21,,一,27,,こと,14,,日本,61,,見出し,7,,人,14,,れる,15,,人間,33,,もの,7,,学生,13,,の,71,,民,6,,もの,626,,家,29,,ある,21,,出る,38,,それ,16,,いる,42,,それ,18,,一,31,,的,14,,必要,4,,なる,67,,それ,35,,もの,574,,話,35,,なる,37,,概念,750,,こと,24,,一,22
