単語,出現回数
する,20341224
年,9941941
れる,7763946
いる,6259108
月,4180764
日,3130161
なる,3105224
こと,2650922
ある,2268712
日本,1857434
者,1422481
的,1385107
人,1330046
ため,1323025
られる,1308647
人物,1188465
県,1139753
市,1089740
後,979053
よう,933386
行う,885335
脚注,839626
出身,818360
もの,779215
家,775780
中,751328
作品,747513
外部,742809
リンク,738950
選手,733629
の,706181
おる,686759
関連,679370
映画,638401
できる,622943
駅,590955
町,571575
これ,552319
時代,552145
項目,535328
時,533795
一,515734
州,515162
部,511619
学校,492588
化,490690
ない,483599
回,481916
放送,480730
せる,479596
現在,477803
性,468514
会,466258
世界,456186
番組,454815
東京,442790
名,435973
戦,434724
軍,430850
位,428539
大学,428118
国,425407
その後,406487
区,405609
歴史,405332
昭和,405124
年生,405031
受ける,401337
上,399589
二,399082
郡,392141
数,387838
テレビ,387080
代表,382530
間,381750
活動,371443
場合,358858
使用,357756
目,347828
世紀,346022
それ,344290
呼ぶ,342440
研究,341990
本,341375
持つ,337330
号,331599
万,331237
概要,329250
鉄道,327670
曲,326182
参考,325127
アメリカ,324070
文献,323501
いう,323369
出典,320965
存在,316390
線,308326
当時,307771
多い,307330
出演,305848
同年,304696
アルバム,301358
出場,299852
三,296353
賞,296322
内,296128
大会,295208
作,291542
他,291021
チーム,290554
機,289588
発表,289508
系,288080
さ,287926
主,287707
次,286746
アメリカ合衆国,284960
ゲーム,280486
彼,280310
地,278868
務める,278692
型,278368
地域,278150
音楽,276062
可能,275145
等,273857
開発,272412
たち,272175
試合,270173
発売,269480
以下,268528
年代,267272
登場,266634
くる,265319
歳,263570
関係,262863
記録,262789
所,260759
語,260172
法,259181
所属,258382
参加,254072
開催,253113
ら,252569
形,251744
シーズン,251679
学,249690
前,248341
平成,246852
以降,245106
多く,245002
ドイツ,243872
見る,242742
開始,242377
村,240883
版,240318
監督,240163
知る,238712
存命,238647
イギリス,236009
時間,235989
女性,235903
楽曲,234777
物,234500
施設,231428
高等,231144
教育,230833
局,230218
世,229654
企業,228280
フランス,228249
用,227429
一部,225509
シリーズ,224717
事業,224545
国際,223538
設立,222240
際,219809
長,219151
リーグ,218522
中心,218192
氏,217780
ドラマ,217475
明治,216421
利用,216183
分,216142
期,215437
用いる,214816
含む,213678
使う,212628
中国,211157
委員,210745
車,210184
収録,208539
社,208373
式,207527
アニメ,206496
会社,206420
優勝,205332
サッカー,204338
点,203146
いく,202423
グループ,201926
道,201570
考える,201486
高い,201392
以上,201301
下,201262
シングル,201243
一般,199930
級,199653
情報,199141
場,198849
地方,197555
結果,197110
都市,196950
卒業,196279
社会,195544
設置,195024
選挙,194443
制作,194325
側,194049
問題,193974
漫画,191268
入る,189972
受賞,189167
王,188901
獲得,187824
議員,187605
種,187223
大阪,186133
政治,185620
野球,185238
担当,185120
必要,185066
得る,184752
交通,183644
影響,183250
事件,181589
言う,181423
機関,181357
度,181312
計画,181233
その他,180619
科,179605
文化,179384
よる,179239
都,179104
ほか,176848
南,176560
北,176418
位置,175934
自身,175437
頃,174055
変更,174043
しまう,173867
政府,173655
没,173554
舞台,172757
体,169846
島,167048
中央,166011
経済,165512
路線,164907
選手権,164762
うち,163848
最初,163726
建築,163101
通り,162628
契約,162488
メンバー,162061
年間,161563
戦争,161419
川,160415
代,160214
バス,159743
就任,159664
円,159523
事,158673
人口,158568
道路,158075
これら,157795
力,157264
スポーツ,156576
プロ,156563
描く,155223
東,154683
地区,154363
艦,154271
建設,154172
組織,154111
小説,153991
デビュー,153315
ロシア,153044
構成,152718
廃止,152301
派,150808
主義,150761
技術,150408
与える,149110
