単語,出現回数
する,18153
れる,7341
いる,6817
年,6290
なる,3156
こと,2865
県,2800
ある,2797
的,2677
人,1706
月,1705
市,1523
られる,1422
者,1381
ため,1321
日,1275
よう,1216
国,1212
日本,1140
語,1089
言語,1073
もの,1036
地域,998
おる,989
著作,975
行う,828
権,820
学,813
多い,780
人口,759
時代,751
の,729
万,720
地方,714
化,694
作品,681
後,649
中,638
漫画,633
これ,628
世界,621
家,613
現在,610
できる,596
性,588
存在,585
音楽,581
部,566
ゲーム,554
ない,538
場合,529
文化,529
呼ぶ,526
町,514
社会,512
哲学,503
位,502
年代,492
都市,486
世紀,485
県内,477
研究,476
一,471
局,467
物,446
藩,444
氏,437
映画,435
それ,426
影響,426
上,421
持つ,420
平成,420
放送,419
全国,418
法,415
せる,413
数,413
中心,409
多く,407
地,406
テレビ,405
政治,402
以降,395
圏,388
次,383
郡,375
ロシア,373
受ける,371
歴史,348
主義,346
スポーツ,344
見る,341
関係,341
経済,339
使用,334
イラン,333
用いる,328
自然,328
産業,327
区,322
関連,320
他,319
アメリカ,318
くる,317
問題,315
昭和,315
間,313
ほか,312
以下,312
パリ,312
いう,310
二,309
高い,304
含む,300
生産,300
一部,297
その後,296
一般,295
教育,294
分類,294
科学,292
使う,291
可能,290
民族,287
ヨーロッパ,286
時,284
エジプト,283
億,282
人物,282
ドイツ,280
以上,280
軍,277
連載,276
ピアノ,276
名,269
大学,268
生物,267
明治,264
これら,263
論,262
さ,261
派,260
利用,259
置く,257
政府,257
国内,256
分野,256
その他,252
意味,250
保護,250
国家,249
系,248
国際,248
岡山,246
発展,245
大きい,244
地理,244
下,243
気候,242
東京,239
大統領,239
率,238
円,236
中国,235
ら,235
開発,235
占める,234
方言,233
異なる,232
量,232
フランス,231
当時,230
条,230
技術,229
三,228
出身,228
いく,227
沖縄,227
主,225
企業,221
学校,220
続く,220
発表,219
活動,219
考える,219
東,219
知る,218
よる,218
側,218
観光,218
南,217
期,214
位置,214
機関,214
会,214
型,213
共和,213
情報,212
州,211
条約,211
鉄道,209
号,208
トルコ,207
アニメ,207
オーストリア,207
例,206
国民,206
遺跡,206
以外,206
期間,206
構成,205
代表,205
必要,205
生活,205
古代,202
伝統,201
与える,201
南部,201
回,201
村,201
言う,199
北部,198
発生,196
選挙,196
曲,196
一つ,195
規模,195
イラク,194
独立,193
演奏,193
北,191
入る,190
少ない,190
駅,190
スリー,190
業,189
プレ,189
島,188
連邦,188
設置,188
朝,188
前,187
戦争,187
記録,187
北海道,187
県民,187
蝦夷,187
減少,186
人間,185
除く,185
中央,185
対象,185
自由,185
それぞれ,184
構造,184
内,183
特徴,182
度,182
力,180
文字,178
支配,178
結果,176
方法,176
交通,176
主要,176
西,176
制,176
描く,176
体,175
帝国,174
所,174
等,172
区分,172
工業,172
多数,170
面積,170
宗教,169
登場,169
成立,168
作,168
検索,168
現代,167
理論,167
行政,167
世,167
事業,167
政権,166
コンピュータ,165
得る,164
盛ん,163
強い,163
形,160
脚注,160
イタリア,160
頃,160
英語,159
重要,158
将軍,158
リンク,157
形成,157
開催,157
赤塚,157
表現,156
番組,156
外部,155
道,155
年間,154
館,154
都道府県,154
近年,152
項目,151
開始,151
連合,150
様々,150
最大,150
賞,150
線,148
表記,148
勢力,148
医学,148
定義,147
増加,147
イギリス,146
川,146
植物,146
秋田,146
佐賀,146
部分,145
たち,145
以前,145
領,144
グループ,144
時点,144
イスラム,144
米,144
権利,144
参照,143
際,143
別,142
示す,142
挙げる,142
点,141
始める,141
進む,140
建設,140
本,139
うち,138
近代,138
平均,138
議会,138
類,138
長崎,138
四国,138
機能,137
弦,137
初期,136
人工,136
人々,136
誌,136
沿岸,136
群,135
データ,135
最高,135
農業,135
新潟,135
同様,134
扱う,134
全体,134
医療,134
長い,134
日本語,133
西部,133
加盟,133
制作,133
フランス語,132
時間,132
一覧,131
版,131
調査,131
形式,131
年度,130
状態,130
タンゴ,130
作る,129
基本,129
出典,129
革命,129
地区,129
変化,128
基づく,128
認める,128
道路,128
指定,127
名称,127
広島,127
東部,126
文学,126
都,126
品,126
紀元前,126
施設,126
式,125
スペイン,125
福島,125
カレン,125
出版,124
伴う,124
全て,124
自動車,124
社,124
作曲,124
非常,123
音,123
運動,123
王国,123
食,123
層,122
外,122
地帯,122
同年,122
高知,122
すべて,121
広い,120
一方,120
諸国,120
始まる,120
数学,120
公表,120
目的,119
首都,119
組織,119
王朝,119
歳,119
言葉,118
傾向,118
時期,118
近い,118
指す,117
方,117
話,117
要素,117
参加,117
イスラーム,117
徳島,117
続ける,116
神,116
長野,116
書く,115
文法,115
はじめ,115
結ぶ,115
会社,115
相,115
周辺,115
新聞,115
少年,115
リチャード,115
自身,114
ラジオ,114
いずれ,114
注釈,114
江戸,114
最初,114
東北,114
静岡,114
九州,114
拡大,112
程度,112
県庁,112
方式,112
合併,112
消滅,111
個人,111
低い,111
路線,111
デザイン,111
液晶,111
加える,110
文献,110
人気,110
製造,110
