単語,出現回数
する,174620
れる,70024
いる,58980
年,49586
こと,29234
なる,29162
ある,24755
的,20183
月,18996
ため,14098
よう,13042
られる,12615
日,12229
もの,10884
日本,10498
者,10144
人,9288
できる,8594
化,7987
行う,7788
の,7360
おる,7224
作品,6816
これ,6424
駅,6210
中,6049
後,5848
性,5811
場合,5757
漫画,5704
呼ぶ,5529
県,5385
多い,5326
ない,5102
時代,4774
家,4700
上,4604
年代,4563
世界,4448
存在,4447
使用,4413
せる,4412
それ,4277
国,4251
ゲーム,4251
現在,4219
一,4172
使う,3999
持つ,3964
時,3872
市,3839
可能,3801
間,3784
開発,3778
いう,3744
語,3642
学,3625
数,3596
用いる,3526
映画,3426
利用,3423
系,3366
線,3340
一般,3312
用,3307
万,3302
言語,3266
人物,3234
関連,3232
多く,3229
放送,3225
以降,3142
法,3139
世紀,3056
機,3055
他,2996
当時,2996
部,2988
必要,2842
受ける,2832
型,2828
影響,2823
研究,2800
問題,2741
地域,2733
アメリカ,2721
含む,2687
その後,2678
鉄道,2664
登場,2662
二,2655
システム,2618
発売,2613
東京,2601
時間,2594
さ,2590
くる,2555
関係,2545
テレビ,2540
発表,2535
機能,2525
版,2502
次,2498
見る,2442
等,2432
以下,2400
いく,2380
音楽,2371
これら,2367
一部,2347
活動,2311
内,2297
昭和,2292
異なる,2267
高い,2260
中心,2252
号,2222
考える,2218
経済,2216
シリーズ,2202
データ,2187
名,2185
技術,2179
会,2176
大きい,2169
歴史,2153
本,2132
地方,2124
権,2109
以外,2106
連載,2080
回,2060
社会,2052
言う,2042
主,2040
項目,2037
以上,2021
点,2019
事業,2019
構造,2015
意味,1986
出身,1984
開始,1980
描く,1980
文化,1974
ほか,1955
形,1952
対応,1942
情報,1939
際,1932
局,1925
物,1918
採用,1913
作,1913
外部,1902
機関,1898
記録,1895
大学,1886
コンピュータ,1864
式,1861
知る,1856
例,1846
方式,1826
アニメ,1823
部分,1821
平成,1821
位,1814
三,1811
力,1805
得る,1800
リンク,1795
賞,1789
ら,1784
脚注,1777
体,1768
量,1755
主義,1752
州,1751
状態,1747
前,1745
地,1745
電子,1733
都市,1723
国際,1681
たち,1680
社,1680
頃,1663
分類,1658
側,1654
計算,1646
その他,1640
番組,1638
彼,1630
代表,1627
作る,1626
著作,1616
科学,1616
円,1615
度,1608
列車,1605
政府,1596
発生,1593
結果,1592
同様,1585
与える,1577
構成,1572
入る,1545
論,1541
基本,1539
政治,1529
人間,1522
方法,1517
生産,1517
よる,1515
会社,1510
それぞれ,1508
運動,1500
示す,1489
ドイツ,1482
最初,1479
中国,1476
表現,1466
車両,1462
目,1460
企業,1456
人口,1450
強い,1435
期,1427
誌,1424
販売,1422
自身,1420
参照,1419
とき,1418
下,1411
宇宙,1405
出典,1400
定義,1397
路線,1395
文字,1390
カード,1389
特徴,1385
しまう,1383
億,1381
ソフト,1365
国家,1363
うち,1362
学校,1360
初期,1359
様々,1359
変更,1357
当初,1354
明治,1351
向け,1345
制作,1338
重要,1336
導入,1330
書く,1327
ソフトウェア,1325
分野,1322
種,1320
設置,1319
続く,1313
車,1312
インド,1311
一つ,1308
町,1308
大阪,1307
普及,1306
受賞,1305
神,1303
位置,1301
国内,1291
環境,1286
教育,1284
小説,1282
出演,1277
処理,1274
監督,1271
事,1269
イギリス,1267
同年,1263
英語,1262
生物,1261
ヨーロッパ,1260
少ない,1256
グループ,1255
自由,1251
始める,1247
分,1243
事件,1243
戦争,1241
述べる,1241
女性,1230
全て,1228
区,1219
プログラム,1217
軍,1210
面,1204
対象,1202
標準,1201
変化,1200
続ける,1198
理論,1197
自分,1197
複数,1192
運転,1192
地球,1189
発展,1188
以前,1188
計画,1182
名称,1181
表示,1181
提供,1180
フランス,1175
人気,1166
通信,1165
方,1163
開催,1162
派,1161
置く,1161
独立,1160
券,1160
交通,1159
参加,1157
規格,1157
銀行,1153
デザイン,1151
自然,1150
少年,1142
宗教,1138
中央,1137
設定,1133
帝国,1131
時期,1131
関数,1131
現代,1125
場,1125
広い,1121
圏,1119
別,1118
率,1117
出る,1117
目的,1115
すべて,1114
多数,1113
年間,1113
キャラクター,1105
担当,1104
メモリ,1103
加える,1102
設立,1102
文献,1102
条,1101
高速,1100
除く,1098
管理,1098
自動車,1091
コード,1089
組織,1088
所,1087
水,1086
説,1085
評価,1082
全国,1081
物理,1080
デジタル,1080
注釈,1078
初,1073
曲,1071
程度,1069
憲法,1067
モデル,1067
デビュー,1067
種類,1064
話,1057
全体,1057
扱う,1049
書,1047
歳,1046
産業,1044
雑誌,1043
通常,1042
製品,1039
メーカー,1039
基づく,1034
伴う,1033
最大,1032
装置,1032
始まる,1030
生活,1027
時点,1027
挙げる,1026
形成,1022
理由,1019
値,1017
発行,1015
参考,1015
形式,1012
指す,1010
長い,1008
公開,1005
細胞,1005
搭載,1005
規模,1004
終了,1004
京都,1003
内容,1001
実行,1000
作家,999
哲学,997
撮影,993
類,991
語る,990
国民,988
ごと,988
決定,988
出版,986
スポーツ,986
進む,985
製造,969
掲載,965
速度,964
ビット,964
非常,959
設計,958
暦,957
記述,955
建設,955
道路,952
層,950
エネルギー,947
表記,946
何,946
軌道,946
製作,944
少女,944
言葉,942
教,939
ドラマ,935
ファイル,935
発見,931
島,927
制,927
カメラ,923
認める,922
日本語,921
後半,921
求める,917
台,917
イタリア,916
空間,915
光,913
電気,913
市場,912
説明,909
バス,907
制御,905
機器,902
サービス,899
群,898
最後,889
委員,889
大統領,889
完全,887
観測,887
リスト,887
出す,886
動作,883
要素,880
ここ,879
施設,877
信号,875
外,874
専用,874
戦,873
映像,872
最終,869
アメリカ合衆国,865
主要,860
十,859
新た,846
状況,846
やすい,846
表す,844
声優,844
新しい,842
東,836
南,834
占める,832
古代,829
色,827
誕生,826
思う,824
都,822
領域,821
ところ,821
展開,819
実装,819
北,818
含める,818
ロシア,818
