単語,出現回数
する,14436
れる,5692
いる,5194
年,4527
なる,2426
こと,2400
的,2341
ある,2057
人,1310
月,1308
者,1178
られる,1135
よう,1101
言語,1070
語,1062
ため,1033
著作,975
日,928
もの,922
日本,829
権,804
学,803
国,729
おる,704
作品,648
行う,641
の,624
漫画,623
化,594
県,586
音楽,573
世界,564
ゲーム,543
家,539
できる,531
性,522
これ,518
後,508
哲学,502
時代,501
多い,481
場合,477
中,473
社会,462
存在,460
研究,458
ない,435
世紀,432
地域,426
映画,419
万,418
年代,418
呼ぶ,415
市,405
物,402
法,376
文化,370
政治,367
せる,366
ロシア,366
現在,365
それ,363
持つ,362
一,353
影響,345
上,344
主義,344
イラン,333
パリ,311
多く,305
使用,302
用いる,298
地方,292
人口,292
問題,291
受ける,291
アメリカ,290
いう,286
関係,286
科学,285
ヨーロッパ,284
エジプト,283
部,282
ドイツ,280
数,279
くる,278
民族,277
連載,276
ピアノ,275
以降,273
テレビ,268
使う,265
分類,263
生物,259
論,259
関連,259
位,258
次,256
見る,253
一般,252
歴史,252
可能,252
人物,250
自然,249
派,248
他,248
都市,248
国家,245
分野,245
保護,243
間,238
時,238
大統領,238
その後,236
二,236
意味,235
スポーツ,233
経済,232
フランス,230
中心,229
国際,226
大学,224
含む,223
地,222
政府,221
系,212
軍,212
放送,212
共和,210
利用,210
技術,209
教育,208
ほか,207
高い,207
トルコ,207
オーストリア,207
これら,206
以上,203
条約,203
名,201
発表,200
条,200
国民,199
期間,199
以下,197
アニメ,197
その他,195
億,194
当時,194
イラク,194
曲,194
いく,192
必要,191
演奏,191
活動,190
スリー,190
異なる,189
考える,189
プレ,189
一部,188
さ,188
ら,187
発展,186
区,185
国内,183
連邦,183
型,182
出身,181
開発,181
自由,181
人間,180
与える,179
代表,178
独立,177
州,177
情報,176
描く,176
方法,175
文字,174
知る,174
帝国,173
よる,173
地理,173
下,172
中国,171
会,171
戦争,171
回,171
例,170
検索,168
理論,167
昭和,167
体,166
宗教,166
コンピュータ,165
構造,164
世,164
朝,164
発生,163
登場,163
言う,163
作,161
圏,159
イタリア,159
古代,158
一つ,158
頃,158
英語,157
赤塚,157
主,156
大きい,156
等,155
政権,155
学校,154
結果,154
続く,152
期,152
構成,152
蝦夷,152
町,151
将軍,151
表現,150
以外,148
平成,147
力,146
生産,146
連合,145
定義,145
対象,145
号,145
現代,144
イギリス,144
イスラム,144
記録,144
秋田,144
方言,143
権利,143
様々,142
機関,142
占める,141
東京,141
医学,141
特徴,140
率,140
選挙,140
植物,139
伝統,138
脚注,137
番組,137
得る,136
支配,136
弦,136
前,135
それぞれ,134
たち,134
生活,134
度,134
量,134
開催,133
フランス語,132
誌,132
示す,131
表記,131
側,131
データ,131
形式,131
形,130
外部,130
リンク,130
内,130
人工,130
グループ,130
加盟,130
タンゴ,130
日本語,129
成立,129
革命,127
制作,127
三,126
版,126
東,126
円,126
賞,126
機能,125
産業,125
紀元前,125
カレン,125
入る,124
置く,124
スペイン,124
項目,124
作曲,124
扱う,123
文学,123
館,123
出版,122
開始,122
氏,122
音,121
北,121
人々,121
始める,121
議会,121
類,120
本,120
数学,120
多数,118
一覧,118
挙げる,118
制,118
状態,118
強い,117
川,117
イスラーム,117
王朝,117
諸国,116
公表,116
作る,115
文法,115
際,115
西,115
初期,114
形成,114
基本,114
話,114
要素,114
認める,114
リチャード,114
最高,113
少年,113
点,112
相,112
部分,111
全国,111
自身,110
液晶,110
非常,109
神,109
知能,109
デザイン,109
週刊,109
変化,108
重要,108
インドネシア,108
企業,107
参加,107
歳,107
楽器,107
金沢,107
目的,106
以前,106
基づく,106
組織,106
言葉,105
位置,105
近代,105
主要,105
学者,105
時点,105
南,105
方式,105
プログラミング,104
理解,104
ポピュラー,104
郡,104
書く,103
局,103
最初,103
同様,102
公用,102
王国,102
時間,102
発売,102
別,101
憲法,101
層,101
個人,101
出典,101
学問,101
述べる,101
自分,101
人気,101
うち,100
中央,100
気候,100
システム,100
掲載,100
建設,100
始まる,100
デビュー,100
批判,99
規則,99
同年,99
キャラクター,99
近年,98
獲得,98
運動,98
文献,98
全て,98
規模,98
最大,97
会社,97
続ける,96
参照,96
勢力,96
いくつ,96
首都,96
財産,96
機,96
能登,96
指す,95
アラブ,95
加賀,95
消滅,94
少ない,94
長い,94
石川,94
語る,93
調査,93
思想,93
シカゴ,93
収録,93
進む,92
全体,92
行政,92
製作,92
輸出,92
軍事,91
除く,90
複数,90
南部,90
名称,90
概念,90
評価,90
北部,90
年間,90
目,90
大会,90
共通,89
説明,89
注釈,89
物理,89
王,89
内容,89
米国,89
さまざま,88
種,88
大陸,88
大戦,88
アジア,88
鳥山,88
藩,88
式,87
主張,87
行為,87
担当,87
明治,87
アルバム,87
伴う,86
西洋,86
拡大,86
時期,86
事件,86
ドル,86
彼,86
社,86
チュニジア,86
加える,85
生まれる,85
求める,85
決定,85
規定,85
エンジン,85
広い,84
女性,84
何,84
初,84
芸術,84
公開,84
シリア,84
計算,84
受賞,84
島,83
減少,83
用,83
機械,83
方,82
認識,82
石油,82
カーペンターズ,82
現象,81
一方,81
オランダ,81
鉄道,81
体制,81
話者,80
領,80
群,80
後半,80
含める,80
統治,80
専門,80
駅,80
競技,80
創作,80
アメリカ合衆国,79
線,79
増加,79
それら,79
程度,79
ナイト,79
発音,78
完全,78
発達,78
傾向,78
モデル,78
定める,78
平均,78
機構,78
面,78
ローマ,77
教,77
記述,77
いずれ,77
政策,77
工業,77
協力,77
電子,77
オスマン,77
アシスタント,77
統計,76
アフリカ,76
設立,76
書,76
観光,76
向け,76
シングル,76
インド,75
標準,75
多様,75
高等,75
参考,75
しまう,75
ジャンル,75
学習,74
ここ,74
処理,74
ギリシア,73
すべて,73
彼ら,73
採用,72
とき,72
項,72
制度,72
年生,72
党,72
ヒット,72
集団,71
盛ん,71
とる,71
説,71
指導,71
品,71
状況,71
所,71
沿岸,71
作家,71
業,71
原作,71
プログラム,71
子供,70
経る,70
環境,70
有名,70
農業,70
ところ,70
導入,70
リスト,70
撮影,70
ソクラテス,70
ラテン語,69
区別,69
ギリシャ,69
事実,69
知的,69
都,69
文明,69
改正,69
新聞,69
特撮,69
ファン,69
アラビア,68
新た,68
領域,68
手,68
医療,68
食,68
設定,68
経験,68
シリーズ,68
理由,68
出る,68
至る,67
動物,67
欧州,67
はじめ,67
美術,67
低い,67
近い,67
映像,67
音楽家,67
国技,67
地球,66
区分,66
特定,66
超える,66
監督,66
ソ連,66
事,66
分子,66
東北,66
少女,66
新しい,65
みる,65
枚,65
統一,64
思う,64
対立,64
場所,64
応用,64
設置,64
パーセント,64
教徒,64
メディア,64
クルド,64
県内,64
宣言,63
話す,63
方向,63
高橋,63
公式,63
出す,63
編集,63
成長,62
ごと,62
手法,62
普及,62
末,62
死後,62
通常,62
生成,62
コケ,62
ドラゴン,62
記号,61
種類,61
系統,61
発見,61
建築,61
残る,61
事業,61
施設,61
プロ,61
文脈,61
人格,60
立場,60
対応,60
交通,60
最終,60
展開,60
原因,60
適用,60
法律,60
結ぶ,60
価値,60
実験,60
サイト,60
販売,60
首相,60
中世,59
日常,59
由来,59
当初,59
会議,59
風邪,59
論理,58
十,58
分ける,58
ユダヤ,58
生じる,58
もつ,58
代,58
場,58
計画,58
及ぶ,58
進める,58
レコード,58
ドラマ,58
デジタル,58
インターネット,58
岩手,58
急速,57
学会,57
以後,57
自動車,57
遺産,57
サッカー,57
細胞,57
就任,57
死亡,57
通信,57
自体,56
共同,56
わけ,56
能力,56
誕生,56
ひとつ,56
外国,56
割合,56
裁判所,56
表示,56
提供,56
選ぶ,56
自ら,56
比較,56
輸入,56
楽曲,56
